PlayerID,PA,WAR,G,AB,R,H,2B,3B,HR,RBI,SB,HallOfFame
paskedo01,7008,1.650666667,1716,6017,868,1613,279,77,42,577,293,C
gillepe01,3038,1.11625,714,2927,450,809,108,45,10,351,54,NC
gantejo01,597,-0.2,186,545,68,148,20,6,8,59,2,NC
ryalma01,235,-0.233333333,127,223,19,47,11,0,7,31,1,NC
hevinjo01,1068,0.10875,399,985,103,261,37,12,1,90,4,NC
milleto02,8,0,9,8,2,2,0,0,0,0,1,NC
roachme01,540,-0.171111111,227,496,44,120,23,0,8,48,0,NC
barbebr01,1660,1.051666667,479,1434,163,388,73,6,16,133,16,NC
tonismi01,7,-0.14,2,6,0,0,0,0,0,0,0,NC
morejda01,37,0,12,26,4,5,0,0,0,1,1,NC
smithbo02,1794,0.12375,742,1694,155,410,65,16,5,165,17,NC
roonefr01,37,-0.28,12,35,1,7,0,1,1,8,2,NC
pedenle01,33,0.23,9,28,4,7,1,0,1,1,0,NC
thorpji01,751,-0.0175,289,351,58,75,14,9,2,26,12,NC
merribi01,1556,0.18,401,1080,130,274,32,8,6,153,15,NC
williha01,316,-0.26,86,260,27,50,8,3,2,29,9,NC
garcile01,67,-0.065,54,58,10,10,1,0,1,2,3,NC
foxpe01,6169,1.036153846,1461,5636,895,1678,314,75,65,694,158,NC
chrisbr01,71,0.44,29,63,4,17,1,0,0,3,0,NC
roberji02,182,-0.48,69,155,10,29,8,0,0,8,0,NC
wyattjo01,16,-0.12,4,12,1,2,0,0,0,1,0,NC
cisarge01,31,-0.32,20,29,8,6,0,0,0,4,3,NC
bowcobe01,55,0.36,14,50,7,16,3,1,1,10,1,NC
pellaed01,1587,-0.37375,563,1423,167,321,42,13,20,133,13,NC
mayswi01,12496,6.8,2992,10735,2043,3240,516,139,652,1887,340,I
flackma01,5911,0.883846154,1411,5039,744,1395,201,71,33,376,199,NC
lindeto01,559,-0.305,270,428,55,91,16,2,7,31,4,NC
murdowi01,66,-0.14,27,62,5,16,3,0,0,5,4,NC
wynnema01,2937,-0.322222222,940,2939,311,729,116,28,45,275,82,NC
berghjo01,46,-0.07,12,44,2,8,3,0,0,0,0,NC
hineshu01,10,0.03,2,8,3,2,0,0,0,1,0,NC
romanbi01,37,-0.175,24,35,2,5,0,0,1,1,0,NC
mccosba01,4761,1.483571429,1170,3898,640,1197,201,66,25,363,55,NC
gedneco01,845,0.392,202,808,148,216,27,8,8,111,7,NC
jonesjo02,10,-0.06,5,10,0,2,0,0,0,1,0,NC
taylore01,548,-0.11,260,507,62,117,22,6,14,58,21,NC
austihe01,101,-0.17,23,101,10,25,3,3,0,11,1,NC
wardja01,58,-0.03,27,49,4,8,3,0,0,4,0,NC
kroegjo01,55,-0.6,22,54,5,9,3,0,0,2,0,NC
odeake01,2511,0.734615385,832,2220,260,560,103,20,41,324,3,NC
coolbsc01,486,-0.21,167,432,44,93,15,1,8,41,1,NC
dayetbr01,472,0.114,218,426,45,110,26,2,14,68,0,NC
tebeage01,2676,0.831428571,628,2391,450,626,97,56,15,314,236,NC
millebr01,593,-0.2275,196,553,43,136,14,4,1,51,1,NC
fuentti01,6073,0.906153846,1499,5566,610,1491,211,46,45,438,80,NC
laynehi01,310,0.24,107,284,37,75,9,4,1,28,3,NC
capripa01,1,-0.03,7,1,1,0,0,0,0,0,0,NC
statoda01,122,0.085,46,108,13,23,5,0,9,15,0,NC
olivato01,6880,2.870666667,1676,6301,870,1917,329,48,220,947,86,C
knickau01,53,-0.05,21,48,8,12,3,2,0,2,0,NC
clingbi01,3242,0.823,820,2854,413,700,86,32,8,302,98,NC
perryja01,17,-0.49,4,17,0,2,0,1,0,1,0,NC
goolsra01,6,-0.08,3,4,0,0,0,0,0,0,0,NC
leoneju01,116,0.14,32,103,15,22,5,0,6,13,1,NC
gamblos01,5197,1.273888889,1584,4550,662,1205,190,30,197,666,49,C
