PA,R,H,HR,RBI,HallOfFame
7008,868,1613,42,577,C
3038,450,809,10,351,NC
597,68,148,8,59,NC
235,19,47,7,31,NC
1068,103,261,1,90,NC
8,2,2,0,0,NC
540,44,120,8,48,NC
1660,163,388,16,133,NC
7,0,0,0,0,NC
37,4,5,0,1,NC
1794,155,410,5,165,NC
37,1,7,1,8,NC
33,4,7,1,1,NC
751,58,75,2,26,NC
1556,130,274,6,153,NC
316,27,50,2,29,NC
67,10,10,1,2,NC
6169,895,1678,65,694,NC
71,4,17,0,3,NC
182,10,29,0,8,NC
16,1,2,0,1,NC
31,8,6,0,4,NC
55,7,16,1,10,NC
1587,167,321,20,133,NC
12496,2043,3240,652,1887,I
5911,744,1395,33,376,NC
559,55,91,7,31,NC
66,5,16,0,5,NC
2937,311,729,45,275,NC
46,2,8,0,0,NC
10,3,2,0,1,NC
37,2,5,1,1,NC
4761,640,1197,25,363,NC
845,148,216,8,111,NC
10,0,2,0,1,NC
548,62,117,14,58,NC
101,10,25,0,11,NC
58,4,8,0,4,NC
55,5,9,0,2,NC
2511,260,560,41,324,NC
486,44,93,8,41,NC
472,45,110,14,68,NC
2676,450,626,15,314,NC
593,43,136,1,51,NC
6073,610,1491,45,438,NC
310,37,75,1,28,NC
1,1,0,0,0,NC
122,13,23,9,15,NC
6880,870,1917,220,947,C
53,8,12,0,2,NC
3242,413,700,8,302,NC
17,0,2,0,1,NC
6,0,0,0,0,NC
116,15,22,6,13,NC
5197,662,1205,197,666,C
8840,1233,2285,170,1424,I
44,8,8,0,3,NC
297,32,55,5,19,NC
21,3,6,0,0,NC
201,28,51,5,28,NC
887,124,284,5,85,NC
9,0,2,0,2,NC
9,2,1,0,1,NC
5,1,1,0,0,NC
13941,2174,3771,755,2297,I
32,2,6,0,0,NC
5206,719,1318,80,513,C
8147,1069,2311,68,971,I
867,117,238,17,100,NC
2932,301,611,53,292,NC
20,1,2,0,0,NC
171,13,27,2,13,NC
7,0,0,0,0,NC
193,30,55,1,27,NC
8916,1211,2345,402,1424,C
7722,1007,2153,222,1099,C
5276,627,1180,10,509,C
1,3,1,0,0,NC
3086,349,675,12,233,NC
8,1,3,0,1,NC
4,0,0,0,0,NC
2549,299,674,2,246,NC
117,6,19,1,9,NC
3,0,1,0,0,NC
3407,291,767,12,287,NC
9094,1214,2150,127,1031,C
3358,357,797,41,320,NC
4,1,1,0,0,NC
6589,869,1632,20,891,C
898,152,232,21,100,NC
118,14,23,4,8,NC
7384,869,1839,302,1051,C
140,11,26,0,6,NC
23,5,1,0,0,NC
1,0,0,0,0,NC
104,5,22,3,11,NC
680,107,154,7,42,NC
1505,168,374,31,180,NC
9519,1546,3017,314,1869,I
11,0,0,0,0,NC
2913,307,631,20,287,NC
325,24,69,2,16,NC
4873,631,1163,102,511,NC
1786,203,431,64,245,NC
5,1,2,0,0,NC
2545,330,582,84,322,C
44,5,6,0,1,NC
554,52,98,7,48,NC
1492,239,462,0,149,NC
115,20,31,1,19,NC
359,56,72,1,3,NC
102,7,17,0,5,NC
4732,576,1071,47,371,NC
438,38,71,2,23,NC
21,1,4,0,3,NC
193,17,42,3,14,NC
465,61,102,8,53,NC
16,1,3,0,1,NC
19,1,2,0,1,NC
559,69,136,5,42,NC
1345,103,286,16,142,NC
1,0,0,0,0,NC
3046,474,855,4,359,NC
90,3,11,0,5,NC
3,2,0,0,0,NC
883,126,220,22,88,NC
10,0,1,0,0,NC
471,49,73,3,30,NC
2140,187,366,26,171,NC
5545,684,1464,76,594,NC
540,51,112,0,49,NC
12,1,2,0,1,NC
13,1,4,0,2,NC
4375,466,1152,75,482,NC
19,3,2,0,0,NC
18,2,1,0,1,NC
496,51,96,0,30,NC
2470,205,403,68,223,NC
11,0,0,0,0,NC
3,0,0,0,0,NC
364,39,88,0,18,NC
31,47,6,1,3,NC
147,19,25,0,3,NC
585,46,122,15,59,NC
2839,362,687,13,261,NC
2,2,0,0,0,NC
16,1,0,0,0,NC
2560,232,550,60,281,NC
59,3,10,0,6,NC
38,4,4,0,0,NC
471,50,110,5,36,NC
4,0,0,0,0,NC
5584,663,1346,24,669,NC
707,75,150,3,43,NC
32,6,10,0,0,NC
45,4,7,3,6,NC
5112,472,1145,40,550,NC
578,74,146,2,27,NC
79,4,12,1,4,NC
5082,809,1159,64,667,C
8,0,1,0,3,NC
11,0,1,0,0,NC
2965,300,728,38,305,NC
330,32,70,0,21,NC
5664,636,1587,58,633,C
1221,86,193,8,65,NC
143,10,31,0,10,NC
72,1,10,0,4,NC
3354,363,833,56,355,NC
317,51,64,0,0,NC
6220,623,1415,155,808,NC
8,0,0,0,0,NC
2064,142,383,10,115,NC
6,1,1,0,0,NC
2,0,0,0,0,NC
5344,691,1260,74,442,NC
1919,217,411,14,141,NC
50,5,15,0,5,NC
549,39,101,4,51,NC
120,11,18,0,9,NC
5,0,1,0,2,NC
950,63,199,3,72,NC
101,4,12,0,5,NC
405,46,104,9,52,NC
1062,195,266,3,154,NC
10861,1272,2732,379,1652,I
1169,120,268,24,122,NC
1191,113,283,10,81,NC
18,4,1,0,1,NC
37,5,11,0,7,NC
52,7,12,2,9,NC
3023,368,781,47,418,NC
4192,295,893,15,345,NC
1482,144,323,21,149,NC
18,2,3,0,0,NC
30,4,5,1,2,NC
6,1,1,1,1,NC
60,7,15,0,0,NC
1089,134,261,6,105,NC
63,3,6,0,2,NC
6582,871,1583,60,553,NC
1074,142,297,2,109,NC
10517,1542,2829,78,1510,I
2003,190,444,54,211,NC
269,16,48,0,17,NC
2059,249,574,45,251,NC
106,12,16,0,5,NC
225,42,55,1,24,NC
267,28,60,5,28,NC
2517,362,602,10,231,NC
100,15,15,1,9,NC
3072,294,718,4,207,NC
5394,652,1129,228,671,NC
803,81,174,25,100,NC
5,1,0,0,0,NC
3790,351,824,55,455,NC
158,11,34,2,24,NC
53,9,12,0,1,NC
2184,237,515,30,193,NC
1082,132,244,17,99,NC
7838,974,1941,90,998,C
89,3,17,0,3,NC
317,45,54,1,20,NC
1,0,0,0,0,NC
23,2,7,0,6,NC
7137,903,1749,293,1086,C
1763,261,415,27,136,NC
2143,262,592,34,286,NC
8115,973,2060,204,1106,C
6,0,1,0,0,NC
35,5,8,0,2,NC
513,192,194,5,108,NC
195,10,40,6,20,NC
1471,146,369,25,209,NC
322,21,64,0,22,NC
46,3,11,1,7,NC
7065,930,1969,202,1209,I
1322,199,335,8,156,NC
100,12,25,0,9,NC
5701,580,1345,169,757,NC
626,74,140,15,76,NC
2,0,0,0,0,NC
1400,142,324,25,145,NC
325,48,60,4,18,NC
91,5,15,1,3,NC
1289,116,344,2,123,NC
150,11,34,1,15,NC
144,16,26,0,6,NC
102,10,22,3,9,NC
2540,261,601,53,296,NC
2159,276,552,8,236,NC
4,1,0,0,0,NC
2411,213,376,1,96,NC
64,16,15,0,7,NC
3315,437,782,76,367,NC
118,32,40,0,26,NC
42,4,5,0,2,NC
10,1,2,0,3,NC
592,50,122,3,61,NC
1,0,0,0,0,NC
599,78,123,6,56,NC
2,0,1,0,0,NC
370,54,79,8,26,NC
206,20,50,4,28,NC
16,1,4,1,1,NC
3,0,1,0,0,NC
2382,361,576,11,240,NC
1386,133,298,2,133,NC
817,74,161,13,64,NC
2,0,0,0,0,NC
842,62,178,22,76,NC
363,27,86,3,39,NC
1409,128,327,9,132,NC
643,57,157,6,62,NC
230,9,28,0,11,NC
5927,777,1243,303,953,C
3999,400,864,88,424,NC
2,1,0,0,0,NC
1523,127,379,5,152,NC
32,3,3,0,3,NC
7558,914,1899,138,1055,C
4315,472,914,8,384,NC
7,2,2,0,2,NC
3933,445,917,152,493,NC
2,1,1,0,0,NC
95,9,25,2,15,NC
97,9,23,1,4,NC
2,0,1,0,0,NC
2487,313,504,3,151,NC
107,22,22,3,10,NC
89,7,18,0,3,NC
392,38,70,1,20,NC
3,0,0,0,0,NC
133,17,25,2,12,NC
5788,703,1390,19,725,NC
2174,233,536,65,267,NC
3745,501,908,9,286,NC
5115,777,1466,164,833,I
3155,266,687,10,249,C
3872,321,777,46,250,C
39,5,9,1,7,NC
1010,139,235,11,116,NC
516,35,119,18,74,NC
1165,155,287,11,51,NC
20,3,3,2,6,NC
1076,83,214,12,93,NC
196,15,40,2,14,NC
4213,560,1047,218,685,C
19,2,3,0,1,NC
6447,720,1343,249,855,C
7387,1132,1839,98,615,C
191,24,43,9,36,NC
4324,580,1036,135,441,C
99,11,19,3,7,NC
9,0,3,0,1,NC
7367,856,1679,32,767,NC
7,0,0,0,0,NC
3908,451,996,151,552,NC
3,0,0,0,0,NC
5268,608,1221,43,388,NC
2191,230,470,23,146,NC
1727,214,375,28,172,NC
312,44,68,0,14,NC
920,87,121,10,38,NC
23,2,3,0,2,NC
1652,113,311,8,117,NC
20,1,2,0,1,NC
8749,1117,2326,56,722,C
177,34,44,0,8,NC
9,0,0,0,1,NC
1162,142,229,38,137,NC
18,0,3,0,0,NC
260,26,58,1,20,NC
5,0,1,0,0,NC
4332,442,999,55,342,C
2507,186,534,41,237,NC
4298,453,972,71,442,NC
155,2,4,0,0,NC
1273,111,282,24,124,NC
1017,95,244,24,113,NC
271,26,55,8,31,NC
6500,771,1619,223,952,C
2451,211,505,8,156,NC
6,2,0,0,0,NC
104,6,13,0,4,NC
399,49,88,14,50,NC
2585,290,591,78,365,NC
68,11,16,1,7,NC
304,20,46,2,20,NC
36,2,3,2,5,NC
1,0,0,0,0,NC
3,0,0,0,0,NC
366,46,85,0,18,NC
10,1,1,0,0,NC
1,0,0,0,0,NC
6573,615,1617,60,584,C
196,13,40,0,5,NC
9013,1214,2657,98,1109,I
17,4,2,0,0,NC
6742,1080,1616,60,983,NC
8172,1337,2321,16,775,NC
75,3,10,0,6,NC
5555,908,1504,250,1087,I
54,4,10,0,0,NC
276,40,64,2,16,NC
1149,94,228,7,71,NC
1102,115,204,16,83,NC
1601,185,361,15,153,NC
1,0,0,0,0,NC
5510,726,1534,72,570,NC
2298,256,561,12,230,NC
3266,442,777,102,412,NC
4,1,1,0,1,NC
149,5,24,0,5,NC
35,7,7,0,3,NC
7429,942,1654,452,1244,C
63,6,8,0,0,NC
341,83,140,0,74,NC
28,2,4,0,0,NC
58,7,14,0,11,NC
7,0,1,0,0,NC
2,1,0,0,0,NC
7,1,1,0,0,NC
93,16,20,0,7,NC
430,56,93,1,17,NC
5708,720,1524,128,654,NC
2816,331,709,83,331,NC
502,51,124,0,31,NC
46,3,9,0,5,NC
4,0,1,0,1,NC
8,0,0,0,2,NC
5,0,0,0,0,NC
718,70,184,8,83,NC
1481,185,340,8,132,NC
20,1,2,0,0,NC
3988,510,881,116,441,C
463,44,105,0,36,NC
775,140,192,2,62,NC
51,4,8,1,3,NC
817,85,184,0,34,NC
938,103,206,6,57,NC
9,2,2,0,0,NC
3929,506,906,154,538,NC
1195,184,342,11,17,NC
191,16,39,1,16,NC
4805,512,985,8,313,NC
18,3,5,0,3,NC
5160,836,1372,60,810,NC
1070,81,204,37,127,NC
740,121,168,2,90,NC
4530,606,1121,39,320,C
1594,165,325,7,103,NC
71,3,14,2,8,NC
24,1,2,0,0,NC
1,0,0,0,0,NC
14,1,1,0,1,NC
95,8,24,2,10,NC
122,18,26,0,13,NC
602,41,53,0,15,NC
124,11,21,2,15,NC
26,1,5,0,0,NC
16,2,6,0,2,NC
452,41,74,0,26,NC
928,102,229,14,84,NC
8138,1470,2281,65,1240,I
61,6,9,0,2,NC
160,17,40,0,21,NC
106,14,20,2,15,NC
88,5,20,0,4,NC
52,5,11,0,0,NC
8297,1183,2416,58,1273,I
52,4,12,1,4,NC
3840,497,905,18,412,NC
3707,431,866,23,288,NC
4440,552,1046,28,369,NC
11782,1232,2848,268,1357,I
418,54,101,7,40,NC
1336,128,254,21,107,NC
8237,1259,2116,407,1333,I
1183,147,269,37,167,NC
301,49,69,0,24,NC
3,0,0,0,0,NC
3840,410,900,33,456,C
7214,993,1810,325,1060,C
24,3,3,0,3,NC
53,4,8,0,0,NC
23,0,4,0,0,NC
1473,185,389,12,125,NC
141,15,33,1,15,NC
1473,110,376,20,194,NC
74,11,17,0,0,NC
5,0,0,0,0,NC
3788,342,855,62,439,NC
984,63,201,12,68,NC
12,1,1,0,0,NC
942,93,236,0,129,NC
7700,867,1931,27,934,NC
1784,158,417,35,233,NC
15,1,1,0,1,NC
189,18,36,0,13,NC
1470,172,317,1,87,NC
192,24,40,2,26,NC
8189,1122,2007,36,810,C
4,0,0,0,0,NC
6174,786,1452,8,372,C
1,0,0,0,0,NC
1960,204,422,4,108,NC
89,12,28,0,11,NC
605,60,118,2,42,NC
1255,150,312,43,167,NC
39,1,6,1,7,NC
219,23,57,2,23,NC
23,0,0,0,0,NC
306,6,16,0,10,NC
3665,426,984,23,268,NC
75,9,17,1,10,NC
179,17,43,0,16,NC
17,1,2,0,1,NC
1173,111,247,13,115,NC
2701,215,560,22,233,NC
103,7,21,1,6,NC
172,16,40,5,12,NC
533,46,115,6,60,NC
245,27,39,7,24,NC
5476,562,1259,134,676,C
13,0,2,0,2,NC
1523,159,279,35,126,NC
7389,1064,1973,78,1010,C
582,62,138,21,73,NC
125,10,22,3,12,NC
216,19,43,2,14,NC
248,40,50,0,0,NC
259,26,41,6,22,NC
18,2,3,0,0,NC
497,83,102,10,40,NC
4,1,1,0,1,NC
1,0,0,0,0,NC
2071,133,438,5,174,NC
688,109,172,19,102,NC
607,95,158,8,88,NC
11,2,2,0,0,NC
158,22,33,3,16,NC
5745,746,1338,9,290,NC
82,13,17,2,14,NC
28,1,5,0,1,NC
3074,393,693,66,329,NC
153,22,38,0,10,NC
2309,211,469,3,187,NC
5271,691,1187,122,513,NC
176,10,31,4,18,NC
6,0,0,0,0,NC
519,69,139,0,25,NC
4310,549,978,55,533,C
97,8,13,0,4,NC
1,0,0,0,0,NC
9205,1239,2452,306,1309,NC
25,2,5,0,3,NC
1886,122,311,11,108,NC
913,73,164,5,50,NC
829,62,147,8,64,NC
21,1,3,0,2,NC
8638,1082,2172,41,804,I
732,110,143,0,65,NC
1,0,1,0,0,NC
3339,318,825,92,396,NC
949,132,238,6,84,NC
815,77,176,5,41,NC
122,12,25,0,5,NC
2488,291,529,33,227,NC
1889,138,365,11,183,NC
1819,168,416,5,166,NC
918,70,185,21,107,NC
35,1,4,0,3,NC
4558,496,1004,160,591,C
341,25,65,0,14,NC
48,7,10,1,7,NC
170,27,41,3,20,NC
3714,504,914,117,431,NC
18,0,5,0,0,NC
8102,1105,1921,370,1274,C
1761,195,346,7,115,NC
18,0,1,0,0,NC
125,10,23,1,10,NC
39,4,6,0,2,NC
1,1,0,0,0,NC
338,44,90,0,3,NC
1172,100,272,1,89,NC
260,15,50,0,25,NC
24,2,7,0,2,NC
689,68,157,6,76,NC
1934,165,440,21,194,NC
438,54,95,8,35,NC
1245,169,257,1,85,NC
30,2,5,0,2,NC
4292,562,1113,84,457,NC
92,9,23,0,11,NC
125,12,27,5,13,NC
916,72,182,12,85,NC
444,66,90,4,50,NC
71,10,17,0,5,NC
63,7,15,1,6,NC
239,32,65,1,20,NC
56,5,9,0,2,NC
911,86,220,4,95,NC
114,12,16,0,3,NC
350,38,94,13,42,NC
4,0,0,0,0,NC
5296,565,1092,130,633,NC
2126,268,473,69,265,NC
23,2,3,0,0,NC
1850,280,507,12,285,NC
272,19,50,1,18,NC
8,9,3,0,3,NC
50,2,7,0,1,NC
1,0,0,0,0,NC
492,44,124,9,60,NC
33,1,8,0,1,NC
4105,443,925,94,365,NC
181,15,44,5,17,NC
519,58,126,9,68,NC
13,4,3,0,2,NC
831,78,186,5,93,NC
5422,659,1032,34,434,NC
216,18,43,2,21,NC
8739,1086,2054,74,676,C
7,0,1,0,0,NC
9788,1798,2654,521,1839,I
4391,489,1151,53,478,C
1110,142,273,7,116,NC
0,0,0,0,0,NC
3754,329,917,1,263,NC
5,0,3,0,0,NC
24,2,7,0,0,NC
455,54,92,2,36,NC
436,52,86,4,0,NC
4483,456,1052,36,408,NC
409,55,86,2,60,NC
26,2,7,0,2,NC
3807,469,1026,12,343,NC
2104,201,578,20,248,NC
9,2,1,0,0,NC
2101,200,484,37,234,NC
265,27,47,0,14,NC
500,16,36,1,15,NC
45,2,8,0,4,NC
29,1,5,0,1,NC
2366,179,317,17,113,NC
974,94,192,13,87,NC
186,13,32,0,7,NC
9,0,0,0,0,NC
1171,96,238,1,88,NC
484,58,87,8,47,NC
5695,839,1381,33,567,NC
3468,330,777,87,372,NC
32,4,6,1,3,NC
1397,103,248,11,116,NC
425,43,99,1,39,NC
2503,208,649,13,243,NC
56,4,11,0,3,NC
1432,160,301,4,134,NC
37,4,6,1,5,NC
14,2,1,0,0,NC
3000,341,638,117,390,NC
4029,621,1136,118,729,NC
1169,127,252,1,78,NC
903,48,183,0,65,NC
54,6,9,0,3,NC
122,9,19,0,9,NC
347,42,65,13,39,NC
77,3,17,0,9,NC
82,13,22,0,3,NC
708,82,182,3,63,NC
12,0,2,0,0,NC
16,1,4,0,0,NC
4,0,1,0,0,NC
0,0,0,0,0,NC
11742,1898,3040,604,1870,I
146,15,17,1,7,NC
3393,350,759,26,287,NC
4,0,1,0,0,NC
4918,787,1230,31,564,NC
2,0,0,0,0,NC
324,18,62,0,18,NC
52,9,15,1,8,NC
5,1,1,0,1,NC
18,2,3,0,2,NC
9829,1436,2657,225,1547,I
67,3,12,0,4,NC
590,87,127,3,26,NC
674,68,136,14,66,NC
4181,532,995,117,477,NC
188,20,29,1,11,NC
25,0,3,0,1,NC
84,6,18,0,6,NC
289,33,68,2,22,NC
78,6,12,0,4,NC
1946,213,406,14,183,NC
117,12,13,2,10,NC
12011,1882,3514,117,1529,I
4892,498,1015,155,659,NC
1643,203,436,5,158,NC
10313,1649,2428,646,1805,I
3,0,1,0,0,NC
32,3,4,0,0,NC
155,12,42,2,20,NC
97,26,21,1,6,NC
563,29,141,13,59,NC
1076,115,234,2,102,NC
674,60,142,1,48,NC
1397,205,320,7,123,NC
6521,678,1441,85,474,C
1229,122,346,7,148,NC
1197,89,263,16,102,NC
22,2,3,0,1,NC
95,7,18,0,7,NC
6,1,2,0,3,NC
3364,498,954,85,377,NC
3146,238,681,37,289,C
2480,314,610,39,253,NC
81,1,11,0,5,NC
3145,254,677,20,293,C
159,16,29,0,9,NC
237,27,44,0,9,NC
7913,1105,2132,332,1287,C
69,8,26,0,0,NC
5624,860,1552,196,913,C
439,60,110,7,51,NC
3759,365,766,13,383,NC
6410,861,1620,328,1064,C
6608,618,1537,52,645,C
778,118,217,1,60,NC
5151,618,1292,77,481,NC
684,51,116,15,75,NC
2131,167,493,22,213,NC
68,8,10,0,3,NC
868,45,127,10,61,NC
119,6,24,1,13,NC
198,26,44,6,17,NC
4632,580,1232,23,463,NC
6,0,1,0,0,NC
51,3,10,0,4,NC
100,9,19,2,11,NC
74,9,14,0,6,NC
17,2,2,0,1,NC
8322,1163,1889,65,558,NC
72,9,18,0,5,NC
2244,295,486,5,130,NC
214,18,32,1,13,NC
3027,360,707,89,330,NC
579,46,95,5,37,NC
2,0,1,0,1,NC
2542,325,570,9,179,NC
4,0,0,0,0,NC
8,1,0,0,0,NC
5413,649,1318,92,536,C
88,6,14,0,4,NC
7036,867,1662,23,518,C
242,29,39,1,7,NC
10,1,4,0,1,NC
158,12,36,2,13,NC
18,4,2,0,0,NC
250,22,46,7,19,NC
2334,291,549,43,203,NC
4295,457,956,54,381,NC
83,5,19,0,10,NC
2,0,0,0,0,NC
5,0,1,0,0,NC
1797,195,468,9,117,NC
358,47,87,0,22,NC
1827,163,474,16,143,NC
19,3,3,0,0,NC
7,2,2,0,2,NC
561,0,4,0,1,NC
204,14,44,0,13,NC
322,39,73,7,32,NC
3755,403,860,5,285,C
3,0,1,0,0,NC
29,1,3,0,3,NC
996,94,167,11,48,NC
269,23,55,6,29,NC
4106,556,996,16,498,C
8129,1259,1979,483,1475,C
31,3,6,1,2,NC
2191,202,480,59,274,NC
2453,280,541,2,262,NC
4268,326,944,10,335,C
19,3,2,0,1,NC
7980,1242,1957,380,1173,C
2718,373,748,3,249,NC
1320,110,247,18,121,NC
11229,1212,2751,298,1492,C
1,0,0,0,0,NC
192,21,36,0,14,NC
9,1,1,0,0,NC
660,60,135,3,62,NC
798,109,201,8,80,NC
365,43,67,4,28,NC
144,14,22,0,7,NC
38,5,14,1,5,NC
2858,400,762,13,249,NC
74,17,19,0,8,NC
25,4,2,0,3,NC
68,3,11,0,6,NC
1994,152,430,16,191,NC
514,31,92,1,32,NC
8,1,2,0,0,NC
1713,231,429,13,160,NC
53,1,10,0,2,NC
76,8,19,1,13,NC
1049,132,161,30,94,NC
299,31,56,15,34,NC
2,0,1,0,0,NC
485,62,114,24,73,NC
1386,261,455,3,104,NC
2,0,1,0,0,NC
268,21,42,2,22,NC
2340,309,562,55,280,NC
3,2,1,1,2,NC
685,67,151,3,54,NC
1013,172,332,3,86,NC
5922,766,1443,89,524,NC
14,3,3,0,2,NC
8931,1036,2251,165,1077,C
2133,320,542,4,117,NC
388,55,77,8,21,NC
1341,105,249,1,77,NC
5448,733,1203,220,658,NC
31,2,7,0,3,NC
3128,577,805,20,394,NC
1211,123,258,16,114,NC
127,9,23,0,0,NC
31,0,2,0,0,NC
4271,374,1045,124,582,NC
9017,1737,2701,76,1067,C
371,54,75,11,36,NC
197,33,58,3,36,NC
49,6,10,0,0,NC
36,3,7,1,5,NC
12,5,4,0,2,NC
41,3,7,0,4,NC
81,6,15,0,4,NC
4972,613,1167,40,423,NC
13,2,5,0,3,NC
1007,120,240,19,97,NC
811,84,185,12,77,NC
6,0,0,0,0,NC
23,4,2,0,0,NC
82,9,20,0,3,NC
3017,264,612,32,266,NC
5,0,1,0,1,NC
51,10,6,2,4,NC
654,59,134,0,48,NC
0,0,0,0,0,NC
12,1,3,0,0,NC
5513,758,1264,280,873,NC
12,1,2,0,0,NC
246,66,63,0,39,NC
708,45,141,3,51,NC
1192,136,305,15,112,NC
138,15,20,3,11,NC
7,1,2,0,0,NC
12013,1445,2877,80,951,C
151,15,45,4,27,NC
4835,548,1110,64,470,NC
7,0,0,0,0,NC
1012,85,247,10,146,NC
191,11,47,0,15,NC
3,0,0,0,0,NC
25,3,5,0,1,NC
57,7,12,0,4,NC
2767,322,631,15,298,NC
2221,180,421,31,202,NC
457,36,115,2,22,NC
605,51,131,13,69,NC
276,34,56,2,13,NC
3816,463,1046,99,492,NC
680,76,139,3,54,NC
6656,985,1553,255,870,C
2008,250,418,41,170,NC
1311,86,244,12,114,NC
1140,144,294,7,90,NC
1175,87,265,2,93,NC
615,84,131,1,48,NC
87,10,21,5,14,NC
681,130,287,4,28,NC
240,28,43,0,21,NC
1631,147,388,23,164,NC
34,0,5,0,0,NC
3471,401,907,14,389,NC
