PA,R,H,2B,HR,RBI,SB,HallOfFame
7008,868,1613,279,42,577,293,C
3038,450,809,108,10,351,54,NC
597,68,148,20,8,59,2,NC
235,19,47,11,7,31,1,NC
1068,103,261,37,1,90,4,NC
8,2,2,0,0,0,1,NC
540,44,120,23,8,48,0,NC
1660,163,388,73,16,133,16,NC
7,0,0,0,0,0,0,NC
37,4,5,0,0,1,1,NC
1794,155,410,65,5,165,17,NC
37,1,7,0,1,8,2,NC
33,4,7,1,1,1,0,NC
751,58,75,14,2,26,12,NC
1556,130,274,32,6,153,15,NC
316,27,50,8,2,29,9,NC
67,10,10,1,1,2,3,NC
6169,895,1678,314,65,694,158,NC
71,4,17,1,0,3,0,NC
182,10,29,8,0,8,0,NC
16,1,2,0,0,1,0,NC
31,8,6,0,0,4,3,NC
55,7,16,3,1,10,1,NC
1587,167,321,42,20,133,13,NC
12496,2043,3240,516,652,1887,340,I
5911,744,1395,201,33,376,199,NC
559,55,91,16,7,31,4,NC
66,5,16,3,0,5,4,NC
2937,311,729,116,45,275,82,NC
46,2,8,3,0,0,0,NC
10,3,2,0,0,1,0,NC
37,2,5,0,1,1,0,NC
4761,640,1197,201,25,363,55,NC
845,148,216,27,8,111,7,NC
10,0,2,0,0,1,0,NC
548,62,117,22,14,58,21,NC
101,10,25,3,0,11,1,NC
58,4,8,3,0,4,0,NC
55,5,9,3,0,2,0,NC
2511,260,560,103,41,324,3,NC
486,44,93,15,8,41,1,NC
472,45,110,26,14,68,0,NC
2676,450,626,97,15,314,236,NC
593,43,136,14,1,51,1,NC
6073,610,1491,211,45,438,80,NC
310,37,75,9,1,28,3,NC
1,1,0,0,0,0,0,NC
122,13,23,5,9,15,0,NC
6880,870,1917,329,220,947,86,C
53,8,12,3,0,2,0,NC
3242,413,700,86,8,302,98,NC
17,0,2,0,0,1,0,NC
6,0,0,0,0,0,0,NC
116,15,22,5,6,13,1,NC
5197,662,1205,190,197,666,49,C
8840,1233,2285,515,170,1424,87,I
44,8,8,3,0,3,0,NC
297,32,55,12,5,19,1,NC
21,3,6,0,0,0,1,NC
201,28,51,7,5,28,1,NC
887,124,284,31,5,85,38,NC
9,0,2,1,0,2,0,NC
9,2,1,0,0,1,0,NC
5,1,1,0,0,0,0,NC
13941,2174,3771,624,755,2297,240,I
32,2,6,0,0,0,0,NC
5206,719,1318,263,80,513,82,C
8147,1069,2311,332,68,971,257,I
867,117,238,48,17,100,28,NC
2932,301,611,126,53,292,6,NC
20,1,2,1,0,0,0,NC
171,13,27,6,2,13,1,NC
7,0,0,0,0,0,0,NC
193,30,55,6,1,27,2,NC
8916,1211,2345,448,402,1424,129,C
7722,1007,2153,442,222,1099,14,C
5276,627,1180,156,10,509,203,C
1,3,1,1,0,0,0,NC
3086,349,675,114,12,233,72,NC
8,1,3,0,0,1,0,NC
4,0,0,0,0,0,0,NC
2549,299,674,78,2,246,185,NC
117,6,19,1,1,9,3,NC
3,0,1,0,0,0,0,NC
3407,291,767,129,12,287,28,NC
9094,1214,2150,403,127,1031,174,C
3358,357,797,128,41,320,20,NC
4,1,1,0,0,0,0,NC
6589,869,1632,274,20,891,479,C
898,152,232,43,21,100,35,NC
118,14,23,4,4,8,0,NC
7384,869,1839,337,302,1051,32,C
140,11,26,3,0,6,6,NC
23,5,1,0,0,0,0,NC
1,0,0,0,0,0,0,NC
104,5,22,5,3,11,0,NC
680,107,154,16,7,42,9,NC
