PA,R,H,2B,HR,RBI,SB,HallOfFame
8052,825,1871,261,314,1094,24,C
2875,249,665,107,16,300,36,C
4910,518,987,135,10,418,159,C
7039,986,1674,339,299,1016,48,C
8143,1126,2314,515,192,1302,40,I
5398,697,1291,187,112,576,45,C
3251,436,683,127,46,241,20,C
5486,654,1006,201,260,765,43,C
8553,1115,2146,433,156,1060,91,C
5880,666,1542,290,42,584,38,C
6417,895,1637,251,46,698,314,I
5970,861,1462,179,31,357,762,C
5729,523,1187,165,142,548,19,C
8051,1108,1994,362,312,1089,136,C
9177,1084,2529,522,287,1365,80,C
8049,1135,2131,360,147,858,193,C
6174,786,1452,229,8,372,151,C
8253,1121,2148,433,91,678,174,C
2654,308,585,64,9,259,26,I
12504,1844,3060,668,291,1175,414,I
7841,1554,2293,325,106,1302,574,I
4604,725,1085,166,189,760,45,C
9058,1249,2452,373,382,1451,58,I
9290,1179,2445,511,173,1146,70,C
6786,844,1797,383,248,953,37,C
3985,451,848,134,128,492,30,C
6694,738,1528,250,70,638,22,C
8518,1254,2188,552,324,1328,123,C
5451,673,1434,298,138,675,18,C
10768,1573,2711,430,70,821,748,I
9741,1225,2456,389,40,1273,275,C
5848,760,1554,326,219,919,54,C
9110,1234,1931,332,154,773,171,C
5606,605,1257,176,22,452,262,C
6352,601,1792,277,190,990,8,I
8747,908,2299,394,79,1078,57,C
10270,1403,2970,591,320,1382,128,I
7701,990,1977,347,95,920,65,C
9041,1213,2135,355,408,1293,170,C
6459,731,1611,273,115,618,43,C
5066,656,1253,249,175,760,13,C
7595,997,1878,338,378,1218,53,C
6043,653,1393,272,20,696,65,C
8840,1233,2285,515,170,1424,87,I
8021,796,1926,293,46,627,167,C
8237,1259,2116,358,407,1333,99,I
7073,669,1694,296,107,714,80,C
7834,913,1951,334,253,1071,60,C
7712,1030,1802,306,176,951,174,C
3998,543,1147,196,72,509,32,C
10062,1506,2234,408,548,1595,174,I
4015,357,816,118,102,410,14,C
5563,698,1507,292,88,581,40,C
5026,446,1109,161,39,418,17,C
3395,237,751,86,4,240,39,C
8760,1338,1899,191,9,461,410,C
5566,448,1259,248,13,537,30,C
7412,915,1779,289,96,797,238,C
6206,590,1486,244,93,645,57,C
2297,194,506,67,6,235,37,C
7315,985,1838,336,180,1189,149,I
2893,366,731,97,99,443,28,I
6276,806,1730,314,159,706,249,C
7352,891,1836,253,390,1143,9,C
8257,1068,2022,424,293,1174,44,C
5166,657,1400,275,130,726,80,C
8306,1033,2047,173,16,427,576,C
9109,998,2237,267,15,536,323,C
1561,164,322,67,23,153,16,C
7340,1077,1750,248,169,659,575,C
1768,169,364,61,42,225,3,C
3206,339,775,107,9,222,90,C
7943,976,2046,352,286,1278,45,C
10100,1534,2368,364,516,1472,70,I
4648,451,1114,176,19,496,125,C
4664,566,1108,169,84,489,192,C
10531,1413,2569,587,353,1440,124,C
7691,1518,2279,454,105,1291,256,I
1364,122,326,50,2,96,12,C
8847,1547,2369,420,132,1258,229,I
3223,222,681,106,5,273,34,C
4577,445,1196,169,32,374,31,C
4079,470,974,174,66,351,42,C
4001,445,828,139,24,335,95,C
7025,861,1779,385,68,789,51,I
4202,514,1090,152,56,409,165,C
4443,529,1197,241,77,511,45,C
6591,832,1649,225,115,558,41,C
13346,2305,3094,522,304,1129,1375,I
4386,475,930,211,173,577,8,C
8269,965,2009,313,277,1071,67,C
9788,1798,2654,525,521,1839,24,I
10232,1383,3141,543,135,1138,319,I
5242,546,1224,150,27,301,152,C
8283,1206,2194,440,281,1191,70,C
8344,977,1868,328,316,1139,24,C
5421,474,1313,244,113,628,6,C
7524,1493,1844,246,28,568,754,C
2849,302,503,59,96,315,10,C
5091,664,1232,277,167,651,36,C
5029,382,1174,196,53,536,7,C
416,55,96,18,0,31,5,C
8649,1011,2054,395,267,1154,53,C
8702,1033,2214,394,76,747,192,C
9154,1191,2223,440,400,1450,233,C
11092,1465,3184,534,444,1808,35,C
4152,336,918,160,37,443,27,C
6025,826,1693,368,156,1068,142,C
5998,612,1518,289,38,793,113,C
7899,1180,1920,206,21,631,359,C
9027,1194,2232,423,475,1540,17,I
7384,869,1839,337,302,1051,32,C
6521,678,1441,218,85,474,41,C
9833,1283,2086,290,573,1584,19,I
10569,1470,2446,483,385,1384,78,C
5669,581,1255,246,77,714,38,C
7389,1064,1973,380,78,1010,300,C
8313,882,2034,380,179,936,40,C
5644,703,1549,330,128,734,18,C
6960,906,1718,268,265,1031,39,C
8219,959,2031,340,354,1244,39,C
4391,489,1151,220,53,478,103,C
6945,743,1537,321,29,769,114,C
9376,1231,2365,412,185,1003,236,I
7150,900,1664,379,275,1065,20,C
2030,458,680,125,21,339,50,C
4844,361,1133,166,40,416,16,C
6848,1419,1682,338,117,845,488,C
6153,944,1437,273,242,795,87,C
8115,973,2060,409,204,1106,60,C
7102,704,1550,262,77,598,100,C
5559,722,1297,224,9,506,167,C
4296,490,1052,145,36,314,118,C
8916,1211,2345,448,402,1424,129,C
7766,1088,1829,216,71,949,288,C
6316,661,1328,174,13,390,244,C
11625,1583,3154,665,317,1596,201,I
2869,198,618,102,18,262,55,C
2846,467,726,133,50,340,33,C
7722,1173,2103,356,96,926,118,I
