PA,R,H,2B,HR,RBI,SB,HallOfFame
6973,900,1785,336,71,818,53,C
8317,1169,2207,281,41,585,668,C
6571,813,1775,341,150,1036,66,I
7617,929,2034,342,87,656,70,C
6619,700,1445,248,244,902,12,C
7672,1390,2214,389,361,1537,30,I
2123,220,474,74,32,232,48,C
4333,549,1079,222,138,589,114,C
8272,1084,2078,313,275,1092,105,C
5408,508,1128,167,144,562,10,C
8297,1183,2416,371,58,1273,158,I
8100,1291,2285,391,130,1061,326,I
5409,901,1297,269,183,795,37,C
5648,962,1471,232,17,813,349,I
3685,350,809,98,101,399,40,C
7214,993,1810,360,325,1060,51,C
1889,167,400,58,36,163,22,C
8129,1259,1979,359,483,1475,206,C
1593,162,285,53,35,178,8,C
4229,460,977,161,51,392,82,C
2102,214,488,77,76,274,6,C
6469,848,1768,298,279,1035,20,C
8802,996,2342,344,252,1185,23,C
3581,317,731,104,3,220,74,C
5664,636,1587,302,58,633,84,C
4268,326,944,137,10,335,134,C
10460,1423,3112,622,75,1536,362,I
3390,396,767,81,7,162,126,C
7718,952,1839,277,251,1032,128,C
6136,812,1630,348,114,742,65,C
6570,765,1369,237,188,826,39,C
6553,798,1509,293,189,877,20,C
5705,723,1472,247,35,411,125,C
7137,903,1749,312,293,1086,37,C
6601,676,1316,175,20,389,167,C
7027,828,1774,258,207,953,38,C
6295,780,1324,245,246,885,48,C
4870,578,1232,184,60,537,132,C
10037,1019,2571,457,159,1128,180,C
3145,254,677,116,20,293,56,C
8164,1009,2029,398,108,754,249,C
1355,180,339,44,10,176,24,C
7905,1007,2074,332,151,874,224,C
7220,904,1634,211,11,526,317,I
7005,1015,1717,335,101,841,123,C
13992,1816,3419,646,452,1844,168,I
4332,442,999,140,55,342,63,C
6412,754,1467,181,34,492,91,C
3155,266,687,113,10,249,51,C
7963,1150,2075,452,349,1133,107,C
11240,1559,2931,474,139,870,915,I
12496,2043,3240,516,652,1887,340,I
12249,1632,3142,583,251,1406,271,I
7008,868,1613,279,42,577,293,C
9235,1623,2544,406,148,828,662,C
3755,403,860,79,5,285,159,C
10228,1193,2225,328,390,1314,32,C
9128,1215,1964,336,52,786,443,C
6871,679,1565,241,52,567,71,C
4324,509,1011,124,8,327,211,C
4524,754,1227,270,59,501,146,C
5112,798,1274,200,20,596,403,I
7161,888,1530,231,197,697,63,C
9094,1214,2150,403,127,1031,174,C
7923,1091,2016,400,317,1129,74,C
7387,1132,1839,322,98,615,407,C
8359,1175,2150,321,358,1430,30,I
7217,895,1776,345,223,1022,72,C
