PA,G,AB,R,H,2B,3B,HR,RBI,SB,HallOfFame
6973,1753,5969,900,1785,336,98,71,818,53,C
8317,2154,7731,1169,2207,281,147,41,585,668,C
6571,1622,5999,813,1775,341,75,150,1036,66,I
7617,1833,6696,929,2034,342,56,87,656,70,C
6619,1765,5965,700,1445,248,33,244,902,12,C
7672,1736,6821,1390,2214,389,131,361,1537,30,I
2123,540,1813,220,474,74,24,32,232,48,C
4333,1152,4085,549,1079,222,20,138,589,114,C
8272,2034,7244,1084,2078,313,67,275,1092,105,C
5408,1553,4535,508,1128,167,26,144,562,10,C
8297,1941,7559,1183,2416,371,164,58,1273,158,I
8100,1879,7095,1291,2285,391,155,130,1061,326,I
5409,1284,4603,901,1297,269,73,183,795,37,C
5648,1284,4786,962,1471,232,80,17,813,349,I
3685,997,3062,350,809,98,21,101,399,40,C
7214,1763,6622,993,1810,360,24,325,1060,51,C
1889,730,1721,167,400,58,19,36,163,22,C
8129,1887,7457,1259,1979,359,14,483,1475,206,C
1593,698,1185,162,285,53,4,35,178,8,C
4229,1522,3780,460,977,161,50,51,392,82,C
2102,658,2058,214,488,77,9,76,274,6,C
6469,1718,5950,848,1768,298,29,279,1035,20,C
8802,2209,7874,996,2342,344,59,252,1185,23,C
3581,955,3232,317,731,104,18,3,220,74,C
5664,1353,5533,636,1587,302,39,58,633,84,C
4268,1290,3911,326,944,137,29,10,335,134,C
10460,2480,9246,1423,3112,622,158,75,1536,362,I
3390,936,3055,396,767,81,28,7,162,126,C
7718,1908,6656,952,1839,277,46,251,1032,128,C
6136,1617,5509,812,1630,348,23,114,742,65,C
6570,1782,5539,765,1369,237,48,188,826,39,C
6553,1716,5641,798,1509,293,19,189,877,20,C
5705,1311,5237,723,1472,247,20,35,411,125,C
7137,1747,6192,903,1749,312,18,293,1086,37,C
6601,2016,5784,676,1316,175,33,20,389,167,C
7027,1852,6193,828,1774,258,65,207,953,38,C
6295,1565,5193,780,1324,245,20,246,885,48,C
4870,1277,4325,578,1232,184,90,60,537,132,C
10037,2517,8905,1019,2571,457,47,159,1128,180,C
3145,1050,2568,254,677,116,23,20,293,56,C
